ES_Count_dO,ES_Sum_aaN,ES_Sum_dO,Num_AliphaticDoubleBonds,LogD,QED_HBD,ALogP98,QED_HBA,Molecular_Solubility,QED_ALERTS,ES_Count_dssC,QED_AROM,ES_Sum_sF,ES_Sum_sCH3,ES_Sum_ssNH,Num_H_Donors,O_Count,ES_Sum_ssO,ES_Sum_aaaC,Num_AromaticBonds,SAscore_Complexity,ES_Count_ddssS,ES_Sum_dsN,ES_Count_sOH,QED_PSA,HBD_Count,HBA_Count,Num_H_Acceptors,ES_Count_ssNH,ES_Count_dsN,Num_StereoBonds,ES_Count_aaN,Molecular_PolarSASA,ES_Sum_ddssS,ES_Count_ssS,ES_Sum_sNH2,QED_ROTB,ES_Sum_dssC,ES_Count_sCH3,S_Count,Num_H_Acceptors_Lipinski,ES_Sum_aasC,Molecular_FractionalPolarSurfaceArea,Molecular_FractionalPolarSASA,ES_Sum_ssssC,Apol,Molecular_PolarSurfaceArea,lnROS,quality
1,0,11.473,1,0.384,0.79222,1.811,0.93048,-2.962,0.63972,1,0.82734,0,4.015,5.526,2,1,0,0,6,0.0404228,0,0,0,0.97866,2,1,2,2,0,0,0,68.7903,0,0,0,0.84757,-0.189,2,0,4,1.39,0.155,0.146,0,10348.6,44.37,2.919339637,1
1,0,11.789,1,3.189,0.79222,2.962,0.23327,-4.86,0.84246,1,0.25672,0,0,2.945,2,1,0,2.37,15,0.16249,0,0,0,0.92433,2,1,1,1,0,0,0,122.713,0,0,0,0.96969,0.009,0,1,3,2.001,0.272,0.258,0,12310.9,73.13,2.910357557,1
1,0,11.826,1,3.808,0.37866,3.808,0.23327,-5.539,0.84246,1,0.25672,0,0,5.621,3,1,0,2.31,16,0.172634,0,0,0,0.99651,3,1,1,2,0,0,0,94.986,0,0,0,0.96969,-0.221,0,0,4,2.557,0.186,0.181,0,13892,56.92,3.228143608,1
2,3.929,25.44,2,3.647,0.98659,3.598,0.9848,-5.171,0.84246,0,0.93773,0,9.647,2.599,1,2,0,0,12,0.0536867,1,0,0,0.9583,1,3,3,1,0,0,1,112.265,-3.627,0,0,0.99269,0,5,1,4,5.609,0.205,0.219,0,13017.5,67.44,2.858537198,1
1,0,10.31,2,2.098,0.98659,3.543,0.93048,-4.406,0.63972,1,0.93773,26.178,0,0,1,3,0,0,11,0.0436704,0,0,1,0.99824,0,2,2,0,0,1,0,95.7308,0,0,0,0.99269,-1.111,0,0,3,-0.813,0.21,0.227,0,9691.64,50.44,3.755836758,1
1,0,12.575,1,5.618,0.59178,5.391,0.23327,-6.138,0.63972,1,0.93773,0,10.43,0,0,1,0,0,11,0.0436704,0,0,0,0.98327,0,1,1,0,0,0,0,86.3052,0,0,0,0.87038,0.158,5,1,1,7.716,0.154,0.186,0,11783.7,45.31,4.701857131,2
0,0,0,2,3.93,0.98659,4.084,0.88651,-6.299,0.84246,4,0.82734,0,5.695,0,1,1,5.595,0,6,0.176095,0,0,0,0.85064,1,1,4,0,0,2,0,156.087,0,0,5.926,0.87038,0.803,3,0,4,1.216,0.227,0.304,-0.47,12751.9,82.83,1.681241237,1
1,0,12.018,2,4.742,0.59178,4.742,0.93048,-5.892,0.24139,2,0.82734,0,5.303,0,0,1,0,0,6,0.0436704,0,0,0,0.95565,0,1,2,0,0,1,0,83.927,0,0,0,0.99269,-0.123,3,0,2,1.532,0.134,0.185,-0.597,11297.9,40.86,1.812913357,1
3,4.052,34.213,3,4.775,0.59178,4.962,0.52457,-7.343,0.24139,2,0.25672,0,2.973,0,0,5,5.938,0,16,0.201282,0,4.277,0,0.2881,0,5,6,0,1,1,1,200.597,0,0,0,0.96969,-0.34,2,1,9,2.573,0.337,0.323,0,19016.9,141.99,2.580354661,1
2,0,24.228,3,3.992,0.79222,3.854,0.9848,-5.67,0.08169,1,0.93773,76.721,0,1.663,2,2,0,0,11,0.0676025,1,0,0,0.61834,1,2,3,1,0,0,0,189.754,-4.819,0,0,0.6885,-0.666,0,2,4,-4.613,0.308,0.359,-10.348,13548,106.63,4.591826737,1
3,7.246,33.922,3,1.293,0.98659,1.347,0.33223,-2.298,0.63972,3,0.82734,0,3.292,2.128,1,4,4.645,0,5,0.0436704,0,0,0,0.22304,1,6,7,1,0,0,2,218.11,0,1,0,0.6885,-1.676,2,2,7,0.736,0.521,0.465,0,11170.3,151.78,2.845718018,1
0,0,0,0,3.458,0.59178,3.458,0.9848,-3.959,0.84246,0,0.93773,13.349,1.565,0,0,2,10.478,0,12,0.0436704,0,0,0,0.96589,0,2,3,0,0,0,0,69.1492,0,0,0,0.99269,0,1,0,3,0.708,0.167,0.16,0,9102.9,42.25,4.773636536,2
1,0,10.642,1,2.286,0.98659,2.286,0.23327,-3.653,0.84246,1,0.82734,0,1.449,2.635,1,1,0,0,6,0.0279659,0,0,0,0.80321,1,1,1,1,0,0,0,58.5778,0,0,0,0.87038,-0.101,1,0,2,1.892,0.136,0.153,0,9433.92,29.1,3.418301291,1
1,3.931,11.903,1,1.845,0.79222,2.298,0.9848,-4.364,0.84246,1,0.93773,0,0,2.775,2,2,0,0,12,0.0469652,0,0,1,0.98183,2,2,3,1,0,0,1,108.305,0,0,0,0.96969,-0.285,0,0,4,2.104,0.222,0.224,0,10300.1,62.22,2.990116766,1
0,4.367,0,0,3.249,0.59178,3.249,0.23327,-3.898,0.84246,0,0.93773,0,0,0,0,0,0,0,11,0.030993,0,0,0,0.79631,0,0,1,0,0,0,1,71.3135,0,0,0,0.63709,0,0,0,2,1.376,0.14,0.188,0,8419.56,28.72,5.043599994,2
1,0,11.993,1,3.772,0.79222,4.365,0.93048,-5.321,0.84246,1,0.93773,0,0,2.581,2,2,0,0,12,0.0469652,0,0,1,0.99636,2,1,2,1,0,0,0,94.0794,0,0,0,0.87038,-0.502,0,0,3,1.503,0.178,0.201,0,14126.5,49.33,1.439332694,1
1,0,11.807,1,2.803,0.98659,2.803,0.93048,-3.883,0.84246,1,0.93773,13.38,1.562,2.615,1,2,5.005,0,12,0.0436704,0,0,0,0.93296,1,2,2,1,0,0,0,64.6086,0,0,0,0.99269,-0.474,1,0,3,0.763,0.153,0.147,0,10229.2,38.33,3.407985421,1
2,0,22.844,3,0.313,0.98659,1.311,0.88651,-3.738,0.02659,4,0.82734,0,2.431,0,1,3,4.515,0,6,0.0404228,0,0,0,0.94755,1,3,4,0,0,1,0,128.892,0,0,5.79,0.96969,-1.403,2,0,4,0.803,0.261,0.3,0,10595.7,69.39,3.801678059,1
4,0,47.045,3,3.458,0.59178,3.458,0.52457,-4.788,0.24139,0,0.93773,0,2.731,0,0,6,10.092,0,12,0.0605705,1,0,0,0.61656,0,4,6,0,0,0,0,167.994,-4.047,0,0,0.84757,0,2,1,7,-0.51,0.317,0.324,0,14560.3,106.8,2.139879086,1
1,0,10.796,1,-0.605,0.79222,0.875,0.88651,-1.26,0.63972,1,0.82734,0,3.579,0,2,2,0,0,6,0.0279659,0,0,1,0.96282,1,1,4,0,0,0,0,126.649,0,0,5.483,0.87038,-0.962,2,0,4,1.342,0.321,0.358,0,7228.76,66.56,1.58546073,1
3,0,35.775,3,0.71,0.79222,2.109,0.72615,-3.386,0.84246,1,0.93773,0,3.435,2.386,2,4,0,0,12,0.0571093,1,0,1,0.73692,1,3,5,1,0,0,0,155.505,-3.746,0,0,0.84757,-1.121,2,1,6,0.837,0.298,0.305,0,13530.9,95.09,2.017033339,1
1,0,11.904,1,2.744,0.79222,2.744,0.93048,-4.484,0.63972,1,0.93773,13.522,0,2.594,2,1,0,0,12,0.0469652,0,0,0,0.99897,2,1,2,1,0,0,0,111.109,0,0,5.689,0.99269,-0.364,0,0,3,0.816,0.203,0.239,0,11809.3,55.12,3.278982117,1
1,0,11.539,1,0.905,0.79222,0.905,0.9848,-2.668,0.24139,1,0.82734,0,2.003,2.8,2,1,0,0,6,0.030993,0,0,0,0.87055,2,1,3,1,0,0,0,139.666,0,1,5.659,0.96969,-0.1,1,1,3,1.072,0.344,0.34,0,9082.22,80.42,2.605305046,1
2,0,24.959,2,6.397,0.59178,6.397,0.72615,-7.66,0.63972,0,0.25672,0,0,0,0,4,10.687,0,18,0.0784028,1,0,0,0.83395,0,2,5,0,0,0,0,135.45,-4.166,0,0,0.84757,0,0,1,5,0.869,0.215,0.219,0,19302.4,84.77,1.838849091,1
0,8.925,0,0,5.161,0.59178,5.161,0.88651,-5.94,0.24139,0,0.93773,0,3.896,0,0,0,0,0,12,0.0436704,0,0,0,0.90164,0,2,4,0,0,0,2,102.216,0,2,0,0.99269,0,2,2,2,4.504,0.251,0.212,0,14670.6,76.38,2.012837225,1
1,0,11.662,1,1.301,0.98659,1.303,0.9848,-2.369,0.84246,1,0.82734,26.028,0,2.438,1,2,5.201,0,6,0.0469652,0,0,0,0.96107,1,2,3,1,0,0,0,59.7337,0,0,0,0.96969,-0.281,0,0,4,-1.42,0.15,0.126,0,9269.48,41.57,3.488762172,1
2,0,22.436,2,2.004,0.59178,2.004,0.88651,-2.954,0.84246,2,0.82734,0,6.285,0,0,4,10.366,0,6,0.0469652,0,0,0,0.99815,0,4,4,0,0,0,0,77.5163,0,0,0,0.6885,-0.323,4,0,5,1.82,0.18,0.162,0,10160.7,55.84,3.082426301,1
2,7.892,21.544,1,1.681,0.98659,1.675,0.72615,-3.555,0.24139,0,0.93773,0,0,2.969,1,2,0,0,12,0.0436704,0,0,0,0.84383,1,2,5,1,0,0,2,133.171,0,0,0,0.84757,0,0,0,6,1.416,0.327,0.304,0,9777.56,83.63,4.061320512,1
2,8.131,21.536,1,1.818,0.98659,1.817,0.72615,-3.496,0.24139,0,0.93773,0,0,2.95,1,2,0,0,12,0.0436704,0,0,0,0.84383,1,2,5,1,0,0,2,133.171,0,0,0,0.84757,0,0,0,6,1.209,0.328,0.304,0,9777.56,83.63,4.36110427,1
3,3.907,32.784,2,2.182,0.98659,1.725,0.72615,-3.323,0.24139,1,0.93773,0,1.61,2.619,1,3,0,0,11,0.0469652,0,0,0,0.48776,1,2,5,1,0,0,1,183.724,0,0,0,0.96969,-0.253,1,1,7,0.894,0.43,0.409,0,11316.5,119.29,3.345471754,1
0,7.815,0,0,3.249,0.98659,3.376,0.93048,-3.78,0.84246,0,0.93773,0,1.531,0,1,1,0,0,11,0.0340808,0,0,1,0.93002,1,1,2,0,0,0,2,80.6042,0,0,0,0.63709,0,1,0,3,1.567,0.166,0.2,0,10531.9,38.04,2.767526899,1
1,12.407,13.016,1,3.645,0.98659,4.255,0.52457,-5.612,0.63972,1,0.03452,0,1.53,0,1,2,5.19,1.445,21,0.254272,0,0,0,0.73384,1,5,6,0,0,0,3,147.927,0,0,6.06,0.99269,-0.349,1,0,7,2.303,0.268,0.268,0,14838.4,95.4,2.831869774,1
0,0,0,1,3.129,0.98659,3.149,0.9848,-4.151,0.02659,0,0.82734,0,6.471,0,1,1,0,0,6,0.030993,0,3.058,1,0.99461,0,1,3,0,1,1,0,89.9001,0,1,0,0.99269,0,3,1,2,2.09,0.235,0.222,0.166,9139.8,57.89,4.656878847,1
0,8.717,0,1,1.66,0.98659,1.685,0.9848,-3.187,0.08169,0,0.82734,0,9.645,0,1,1,0,0,5,0.030993,0,3.004,1,0.9982,0,2,3,0,1,1,2,89.7947,0,0,0,0.87038,0,5,0,4,2.324,0.203,0.225,-0.296,7265.76,50.41,3.517129891,1
3,0,32.965,2,4.485,0.59178,4.485,0.88651,-5.496,0.02659,1,0.93773,0,0,0,0,4,5.066,0,12,0.0503047,0,0,0,0.93092,0,2,4,0,0,0,0,122.502,0,0,0,0.96969,-0.728,0,0,5,0.458,0.257,0.267,0,13228.6,72.12,3.425371166,1
2,7.8,22.598,1,2.432,0.59178,2.422,0.33223,-4.765,0.24139,0,0.25672,0,0,0,0,4,11.159,0,18,0.0676025,0,0,0,0.54311,0,4,7,0,0,0,2,170.581,0,0,0,0.84757,0,0,0,8,0.128,0.344,0.327,0,12819.7,113.85,2.707144188,1
2,0,23.057,1,4.69,0.59178,4.69,0.33223,-5.745,0.24139,0,0.25672,0,2.932,0,0,6,22.027,0,18,0.0820652,0,0,0,0.61938,0,4,7,0,0,0,0,154.191,0,0,0,0.53315,0,2,0,8,0.731,0.267,0.256,0,15151.2,106.53,3.398721036,1
0,8.145,0,0,1.609,0.98659,1.527,0.9848,-3.753,0.63972,0,0.93773,13.295,0,3.031,1,0,0,0,11,0.0436704,0,0,0,0.99991,1,1,3,1,0,0,2,100.626,0,0,0,0.84757,0,0,0,4,0.061,0.202,0.219,0,8657.54,53.64,3.48756256,1
2,12.059,21.484,1,0.809,0.98659,0.725,0.72615,-3.055,0.08169,0,0.93773,0,0,2.93,1,2,0,0,11,0.0436704,0,0,0,0.79978,1,2,5,1,0,0,3,147.396,0,0,0,0.6885,0,0,0,7,0.265,0.335,0.327,0,9382.94,88.56,3.245759356,1
1,8.773,11.733,2,4.003,0.98659,4.19,0.88651,-7.043,0.08169,1,0.93773,38.027,9.187,2.187,1,2,4.653,0,11,0.0747707,0,3.573,0,0.95252,1,4,4,1,1,1,2,102.25,0,0,0,0.6885,-1.017,5,0,6,0.866,0.168,0.172,-4.975,13255.1,68.51,4.039889798,1
3,3.905,33.977,2,2.893,0.98659,2.664,0.72615,-4.26,0.24139,1,0.93773,0,1.462,2.491,1,3,0,0,12,0.0536867,0,0,0,0.77634,1,2,5,1,0,0,1,140.909,0,0,0,0.96969,-0.484,1,0,7,0.38,0.303,0.296,0,12464.3,91.05,3.255513713,1
2,0,22.023,1,0.978,0.79222,1.754,0.33223,-1.946,0.24139,0,0.82734,0,6.913,5.732,2,2,0,0,6,0.0469652,0,0,0,0.68579,2,0,7,2,0,0,0,150.493,0,0,0,0.84757,0,4,0,8,0.72,0.325,0.331,0,8766.18,100.14,4.557128081,1
2,4.142,22.229,2,2.859,0.98659,2.58,0.52457,-4.569,0.24139,1,0.93773,0,0,3.281,1,2,0,0,12,0.0605705,0,4.497,0,0.59983,1,2,6,1,1,1,1,156.692,0,1,0,0.96969,0.84,0,1,6,2.252,0.309,0.296,0,13176.2,108.4,3.272769587,1
2,3.93,21.638,1,4.108,0.59178,4.108,0.88651,-5.096,0.08169,0,0.93773,13.56,0,0,0,2,0,0,12,0.0469652,0,0,0,0.84056,0,1,4,0,0,0,1,132.414,0,1,0,0.96969,0,0,1,4,0.324,0.3,0.29,0,12379.5,84.01,3.66899127,1
1,8.921,11.668,2,3.106,0.59178,3.065,0.88651,-5.494,0.08169,1,0.93773,0,9.649,0,0,2,4.871,0,10,0.0536867,0,3.753,0,0.83439,0,4,4,0,1,1,2,129.978,0,0,0,0.84757,-0.465,5,1,5,2.78,0.247,0.248,-0.353,12459.7,84.72,4.34045403,1
0,0,0,1,3.545,0.98659,3.53,0.93048,-4.999,0.08169,0,0.93773,51.695,0,2.436,1,0,0,0,12,0.0469652,0,3.667,0,0.71051,1,1,2,1,1,1,0,40.9291,0,0,0,0.99269,0,0,0,2,-3.161,0.096,0.091,0,9629.84,24.39,4.393180211,1
0,8.273,0,0,3.751,0.59178,3.752,0.23327,-5.019,0.84246,0,0.93773,13.674,5.364,0,0,0,0,0,11,0.0404228,0,0,0,0.56351,0,1,1,0,0,0,2,45.1026,0,0,0,0.87038,0,3,0,2,3.175,0.066,0.101,0,10299.5,17.82,5.280986752,2
1,8.288,12.379,1,5.154,0.59178,4.926,0.93048,-6.662,0.84246,1,0.25672,13.99,3.456,0,0,1,0,0,16,0.0605705,0,0,0,0.97833,0,2,2,0,0,0,2,114.757,0,0,0,0.99269,-0.425,2,1,3,2.611,0.186,0.211,0,14980.2,63.13,4.19743219,1
1,0,11.272,3,-1.797,0.59178,-0.461,0.72615,-1.566,0.02659,2,0.47245,0,6.969,0,0,1,0,0,0,0.030993,0,3.592,0,0.9901,0,2,5,0,1,2,0,83.3678,0,0,0,0.99269,-0.511,4,0,5,0,0.228,0.21,0,6332.02,59.7,3.108565024,1
0,0,0,0,4.846,0.98659,4.853,0.93048,-5.25,0.63972,0,0.93773,27.171,0,0,1,1,0,0,12,0.0503047,0,0,1,0.69082,0,0,2,0,0,0,0,47.278,0,0,0,0.96969,0,0,0,2,-0.382,0.08,0.097,0,12822.5,23.47,2.127104798,1
2,0,23.347,3,1.592,0.59178,2.241,0.88651,-3.758,0.24139,0,0.82734,0,3.348,0,0,2,0,0,6,0.0372253,1,3.468,0,0.99411,0,3,4,0,1,1,0,87.2674,-3.71,0,0,0.99269,0,2,1,4,0.5,0.216,0.197,0,11919.4,58.12,3.181843588,1
2,0,23.471,3,2.148,0.59178,2.797,0.88651,-5.284,0.08169,0,0.82734,75.776,2.762,0,0,2,0,0,6,0.0571093,1,3.01,0,0.99411,0,3,4,0,1,1,0,87.2674,-4.694,0,0,0.84757,0,2,1,4,-4.63,0.178,0.181,-10.257,10348,58.12,4.314214938,1
0,11.592,0,0,1.232,0.98659,1.232,0.9848,-0.787,0.63972,0,0.82734,0,5.904,0,1,0,0,0,5,0.0192991,0,0,0,0.94691,0,2,3,0,0,0,3,127.286,0,0,0,0.63709,0,3,1,3,0.409,0.357,0.391,-0.222,6238.28,69.5,1.537819095,1
0,0,0,0,5.037,0.59178,5.037,0.23327,-5.973,0.84246,0,0.93773,26.437,0,0,0,0,0,0,12,0.0436704,0,0,0,0.72955,0,0,1,0,0,0,0,45.208,0,1,0,0.96969,0,0,1,0,1.265,0.093,0.096,0,12237.8,25.3,3.637989781,1
2,16.182,21.842,1,2.274,0.59178,2.274,0.52457,-3.803,0.24139,0,0.93773,0,5.688,0,0,2,0,0,11,0.0469652,0,0,0,0.53415,0,3,6,0,0,0,4,175.091,0,1,0,0.96969,0,3,1,7,0.505,0.379,0.386,-0.45,10840.2,114.72,2.784260583,1
2,16.306,21.069,1,2.274,0.59178,2.274,0.52457,-3.975,0.24139,0,0.93773,0,5.802,0,0,2,0,0,11,0.0469652,0,0,0,0.53415,0,3,6,0,0,0,4,175.091,0,1,0,0.96969,0,3,1,7,0.986,0.379,0.386,-0.383,10840.2,114.72,2.558708571,1
1,0,11.235,2,0.01,0.79222,0.01,0.9848,-1.961,0.63972,1,0.82734,0,0,2.37,2,1,0,0,6,0.14349,0,3.683,0,0.95809,2,2,3,1,1,1,0,120.3,0,0,5.72,0.63709,-0.127,0,0,4,1.428,0.391,0.343,0,7263.42,67.48,3.730984038,1
2,0,24.553,2,0.55,0.59178,0.55,0.88651,-1.508,0.84246,2,0.47245,0,7.945,0,0,4,11.284,0,0,0.32881,0,0,0,0.99179,0,4,4,0,0,0,0,72.6414,0,0,0,0.96969,0.256,4,0,6,0,0.159,0.131,0,11049.1,59.08,2.927113612,1
2,0,23.498,2,0.587,0.59178,0.587,0.93048,-1.41,0.84246,2,0.47245,0,0,0,0,2,0,0,0,0.0404228,0,0,0,0.95372,0,2,2,0,0,0,0,60.58,0,0,0,0.96969,0.466,0,0,4,0,0.152,0.132,0,8306.46,40.62,3.040008636,1
2,0,22.74,2,1.635,0.79222,1.635,0.93048,-2.559,0.63972,2,0.47245,0,10.699,4.78,2,2,0,0,0,0.030993,0,0,0,0.99393,2,2,2,2,0,0,0,100.504,0,0,0,0.99269,-0.398,6,0,4,0,0.216,0.258,-0.99,7048.2,58.2,3.864837273,1
1,0,11.467,2,0.26,0.98659,1.893,0.9848,-2.514,0.24139,1,0.82734,25.751,3.38,0,1,2,0,0,6,0.0372253,0,0,1,0.95307,1,1,3,0,0,1,0,74.1172,0,0,0,0.99269,-0.663,2,0,3,-3.288,0.166,0.185,0,8265.08,40.54,1.900367129,1
2,0,22.377,3,1.64,0.98659,1.413,0.9848,-2.481,0.24139,3,0.82734,0,0,2.615,1,2,0,0,5,0.030993,0,0,0,0.69031,1,2,3,1,0,1,0,156.788,0,1,0,0.87038,0.554,0,2,3,0.693,0.479,0.405,0,10134.1,99.7,3.864985461,1
2,0,22.451,3,0.158,0.98659,0.158,0.9848,-0.94,0.63972,3,0.47245,0,0,2.645,1,2,0,0,0,0.030993,0,0,0,0.91357,1,2,3,1,0,1,0,109.099,0,1,0,0.63709,0.689,0,1,4,0,0.355,0.283,0,8253.06,74.71,2.30427505,1
0,0,0,0,3.866,0.59178,3.866,0.02838,-4.584,0.63972,0,0.82734,0,6.444,0,0,0,0,0,6,0.0192991,0,0,0,0.21777,0,0,0,0,0,0,0,0,0,0,0,0.39503,0,3,0,0,5.523,0,0,0,5492.88,0,2.401400541,1
2,0,23.008,3,1.842,0.79222,1.387,0.93048,-5.108,0.63972,2,0.93773,0,0,5.433,2,2,0,0,10,0.0503047,0,0,0,0.53467,2,2,2,2,0,1,0,186.134,0,0,0,0.6885,-0.547,0,2,4,2.155,0.373,0.355,0,13762.9,114.67,2.880527778,1
1,0,12.456,1,4.541,0.98659,4.086,0.9848,-6.708,0.08169,1,0.25672,0,0,0,1,1,0,0,16,0.172634,0,0,0,0.43335,1,1,3,0,0,0,0,210.208,0,1,6.047,0.6885,0.19,0,3,2,3.818,0.375,0.382,0,16588.8,124.86,2.70969387,1
1,0,10.583,1,2.441,0.98659,2.441,0.93048,-4.273,0.63972,1,0.82734,13.32,1.47,2.674,1,1,0,0,6,0.0372253,0,0,0,0.99956,1,1,2,1,0,0,0,87.1346,0,1,0,0.84757,-0.052,1,1,2,0.697,0.204,0.193,0,10718,54.4,3.42373725,1
2,0,24.724,3,3.144,0.79222,3.108,0.88651,-4.563,0.08169,1,0.82734,77.5,3.346,1.731,2,3,5.422,0,6,0.261505,1,0,0,0.77806,1,3,4,1,0,0,0,148.095,-4.867,0,0,0.6885,-0.674,2,1,6,-4.765,0.226,0.258,-10.373,13038.4,90.87,4.432231486,1
2,0,24.655,2,3.264,0.59178,3.264,0.9848,-4.978,0.63972,0,0.82734,76.724,0,0,0,2,0,0,6,0.0605705,1,0,0,0.93758,0,2,3,0,0,0,0,106.634,-4.408,1,0,0.96969,0,0,2,3,-4.277,0.214,0.212,-10.161,11885.3,71.06,4.503013977,1
4,0,44.408,2,3.155,0.59178,3.155,0.52457,-5.055,0.24139,0,0.82734,38.359,0,0,0,4,0,0,6,0.0571093,0,0,0,0.47888,0,0,6,0,0,0,0,186.294,0,1,0,0.96969,0,0,1,7,-3.55,0.381,0.4,-4.898,10813.8,120.18,3.409510452,1
2,0,24.4,2,4.808,0.98659,4.773,0.93048,-4.885,0.63972,0,0.93773,0,0,2.43,1,2,0,0,12,0.0503047,1,0,0,0.99945,1,2,2,1,0,0,0,98.0391,-3.74,0,0,0.99269,0,0,1,3,1.454,0.189,0.196,0,13742.1,54.55,1.531478917,1
5,0,57.251,3,3.705,0.98659,3.968,0.19128,-6.591,0.08169,1,0.93773,39.034,1.122,2.53,1,6,5.091,0,12,0.313114,0,0,0,0.35794,1,2,8,1,0,0,0,205.695,0,0,0,0.6885,-0.692,1,0,10,-3.964,0.354,0.382,-5.028,13730.5,133.2,2.980911938,1
1,0,11.34,1,1.69,0.59178,1.69,0.93048,-3.091,0.63972,1,0.47245,0,0,0,0,1,0,0,0,0.0250041,0,0,0,0.98462,0,1,2,0,0,0,0,67.1724,0,1,0,0.63709,-0.41,0,1,2,0,0.205,0.179,-1.79,10126.8,45.61,3.358791162,1
1,0,12.052,1,2.34,0.59178,2.34,0.93048,-3.153,0.84246,1,0.82734,0,0,0,0,1,0,0,6,0.0340808,0,0,0,0.98462,0,1,2,0,0,0,0,67.1724,0,1,0,0.63709,0.056,0,1,2,1.159,0.191,0.161,0,10513.1,45.61,3.233884109,1
1,0,11.683,1,1.071,0.59178,1.071,0.93048,-1.768,0.84246,1,0.82734,0,0,0,0,2,0,0,5,0.0279659,0,0,0,0.99263,0,2,2,0,0,0,0,83.9111,0,1,0,0.63709,0.018,0,1,3,0.45,0.288,0.224,0,8025.08,58.75,3.317645543,1
0,4.135,0,1,3.364,0.79222,3.367,0.9848,-3.945,0.63972,0,0.25672,0,0,0,2,1,0,1.908,16,0.159195,0,4.298,1,0.98521,2,2,3,0,1,1,1,96.8898,0,0,0,0.87038,0,0,0,4,1.499,0.26,0.223,0,10610.5,61.27,3.569666462,1
1,0,11.721,1,4.803,0.59178,4.803,0.93048,-5.384,0.63972,1,0.93773,13.463,0,0,0,2,5.009,0,12,0.0469652,0,0,0,0.74989,0,2,2,0,0,0,0,49.5212,0,0,0,0.96969,-0.56,0,0,2,0.747,0.096,0.106,0,12779.1,26.3,3.907626305,1
2,0,24.45,3,3.133,0.79222,3.098,0.88651,-4.612,0.08169,1,0.82734,77.053,0,1.737,2,2,0,0,6,0.0711702,1,0,0,0.6151,1,2,4,1,0,0,0,170.621,-4.798,1,0,0.6885,-0.601,0,2,5,-4.697,0.284,0.306,-10.328,13352,106.94,4.672933302,1
2,11.703,21.561,1,2.055,0.98659,2.806,0.33223,-3.063,0.24139,0,0.93773,0,1.734,2.847,1,2,0,0,11,0.0404228,0,0,0,0.2335,1,3,7,1,0,0,3,218.768,0,1,0,0.96969,0,1,2,7,1.553,0.577,0.509,0,10985.5,150.06,3.760799312,1
2,0,24.14,2,4.74,0.98659,4.74,0.88651,-4.624,0.63972,2,0.82734,0,13.285,2.471,1,4,9.96,0,6,0.0605705,0,0,0,0.95601,1,4,4,1,0,0,0,92.6036,0,0,0,0.6885,-1.343,7,0,6,5.762,0.178,0.166,0,12133.8,67.87,4.008919389,1
0,12.709,0,0,2.303,0.59178,2.072,0.88651,-4.793,0.84246,0,0.25672,0,0,0,0,0,0,0,17,0.0469652,0,0,0,0.77968,0,3,4,0,0,0,3,142.579,0,0,0,0.87038,0,0,1,4,3.621,0.338,0.315,0,11139.3,90.7,4.098020386,1
2,0,21.119,1,2.11,0.98659,2.11,0.88651,-3.426,0.24139,0,0.82734,36.934,0,0,1,4,4.756,0,6,0.0404228,0,0,1,0.90956,1,1,4,0,0,0,0,131.164,0,0,0,0.84757,0,0,0,5,-2.217,0.313,0.335,-4.653,7472.44,75.28,3.673711909,1
2,0,25.513,2,6.724,0.59178,6.724,0.9848,-7.019,0.63972,0,0.93773,0,9.393,0,0,3,5.264,0,12,0.0605705,1,0,0,0.99957,0,1,3,0,0,0,0,88.9824,-3.968,0,0,0.99269,0,5,1,3,5.312,0.141,0.16,0,16219.9,51.75,2.58546073,1
1,0,11.709,1,4.796,0.59178,4.796,0.93048,-5.21,0.24139,1,0.93773,13.348,0,0,0,2,4.995,0,12,0.0436704,0,0,0,0.74989,0,2,2,0,0,0,0,49.5212,0,0,0,0.99269,-0.8,0,0,2,0.044,0.103,0.112,0,12265.9,26.3,3.214976235,1
0,12.351,0,0,4.551,0.59178,4.551,0.93048,-5.587,0.84246,0,0.25672,13.18,1.805,0,0,0,0,0,17,0.0503047,0,0,0,0.83113,0,2,2,0,0,0,3,59.3283,0,0,0,0.87038,0,1,0,3,2.19,0.111,0.124,0,12334.8,30.71,4.781504057,2
2,0,24.176,3,3.966,0.79222,3.966,0.88651,-5.147,0.08169,1,0.93773,0,0,2.239,2,2,0,0,12,0.0571093,1,0,0,0.64893,1,2,4,1,0,0,0,175.496,-3.755,1,0,0.6885,-0.102,0,2,4,2.049,0.308,0.319,0,16973.9,103.7,4.275092424,1
2,3.971,24.68,2,3.845,0.79222,3.829,0.9848,-4.971,0.84246,0,0.25672,0,0,2.432,2,2,0,1.421,16,0.169211,1,0,0,0.84733,2,3,3,1,0,0,1,133.585,-3.79,0,0,0.99269,0,0,1,5,0.715,0.288,0.27,0,15068.1,83.22,1.633468456,1
0,3.925,0,1,0.695,0.79222,0.182,0.93048,-0.233,0.08169,1,0.82734,0,1.742,2.956,2,0,0,0,6,0.0279659,0,0,0,0.99515,1,1,2,1,0,0,1,94.8649,0,0,0,0.96969,0.517,1,0,3,1.248,0.196,0.248,0,6722.34,48.77,1.707570176,1
