ES_Count_dO,ES_Sum_aaN,ES_Sum_dO,Num_AliphaticDoubleBonds,LogD,QED_HBD,ALogP98,QED_HBA,Molecular_Solubility,QED_ALERTS,ES_Count_dssC,QED_AROM,ES_Sum_sF,ES_Sum_sCH3,ES_Sum_ssNH,Num_H_Donors,O_Count,ES_Sum_ssO,ES_Sum_aaaC,Num_AromaticBonds,SAscore_Complexity,ES_Count_ddssS,ES_Sum_dsN,ES_Count_sOH,QED_PSA,HBD_Count,HBA_Count,Num_H_Acceptors,ES_Count_ssNH,ES_Count_dsN,Num_StereoBonds,ES_Count_aaN,Molecular_PolarSASA,ES_Sum_ddssS,ES_Count_ssS,ES_Sum_sNH2,QED_ROTB,ES_Sum_dssC,ES_Count_sCH3,S_Count,Num_H_Acceptors_Lipinski,ES_Sum_aasC,Molecular_FractionalPolarSurfaceArea,Molecular_FractionalPolarSASA,ES_Sum_ssssC,Apol,Molecular_PolarSurfaceArea,lnROS,quality
1,0,11.254,1,0.168,0.98659,0.713,0.93048,-1.898,0.84246,1,0.47245,0,8.3,3.441,1,1,0,0,0,0.022113,0,0,0,0.80321,1,1,2,1,0,0,0,58.5778,0,0,0,0.39503,0.373,4,0,2,0,0.142,0.179,-0.031,5506.76,29.1,1.835690571,1
2,4.381,24.725,2,2.385,0.59178,2.481,0.9848,-4.238,0.84246,0,0.93773,0,5.632,0,0,2,0,0,10,0.0469652,1,0,0,0.52994,0,3,3,0,0,0,1,177.932,-3.355,0,0,0.84757,0,3,3,4,3.122,0.359,0.351,0,13705.2,115.13,1.491361694,1
0,4.044,0,0,2.174,0.98659,1.946,0.23327,-2.147,0.84246,0,0.93773,0,0,0,1,0,0,0,10,0.0192991,0,0,0,0.99651,1,1,1,0,0,0,1,95.0124,0,0,0,0.63709,0,0,1,2,2.232,0.384,0.298,0,7034.48,56.92,2.2955671,1
0,3.845,0,0,2.374,0.98659,2.405,0.88651,-2.637,0.84246,0,0.82734,39.035,0,0,1,1,0,0,6,0.0503047,0,0,1,0.94502,1,1,4,0,0,0,1,56.6288,0,0,0,0.96969,0,0,0,4,-0.911,0.13,0.119,-4.477,10063.5,39.6,1.397940009,1
0,8.931,0,0,0.16,0.98659,2.389,0.9848,-2.62,0.63972,0,0.93773,36.582,0,0,1,1,0,-0.222,10,0.146518,0,0,1,0.99885,0,2,3,0,0,0,3,94.8298,0,0,0,0.63709,0,0,0,4,-0.908,0.289,0.283,-4.473,6092.52,50.94,1.911157609,1
4,7.403,49.592,4,1.849,0.59178,2.469,0.33223,-3.715,0.63972,2,0.93773,38.623,0,0,0,4,0,0,12,0.093225,1,0,0,0.56061,0,6,7,0,0,0,2,150.457,-3.869,0,0,0.84757,-0.67,0,1,9,-0.874,0.26,0.238,-4.598,16448.8,112.16,3.676739322,1
2,6.217,24.319,2,2.117,0.98659,2.113,0.72615,-3.872,0.84246,0,0.93773,38.6,0.964,2.091,1,4,10.27,0,11,0.179593,1,0,0,0.77844,1,5,5,1,0,0,2,138.552,-4.454,0,0,0.84757,0,1,1,7,-1.155,0.279,0.265,-4.934,12337.9,90.83,2.690639012,1
1,7.039,12.088,1,4.739,0.98659,4.739,0.93048,-6.724,0.84246,1,0.25672,38.534,0,2.633,1,1,0,0,17,0.0676025,0,0,0,0.98976,1,2,2,1,0,0,2,87.0292,0,0,0,0.96969,-0.369,0,0,4,0.183,0.141,0.161,-4.614,14171.6,46.92,4.209930345,1
2,6.883,21.641,3,1.183,0.79222,2.654,0.88651,-5.099,0.63972,2,0.93773,38.198,0,2.345,2,3,0,0,11,0.0605705,0,0,1,0.83874,1,3,4,1,0,1,2,149.37,0,0,0,0.84757,-1.971,0,0,6,-0.99,0.276,0.3,-4.648,11450.6,84.22,2.377488383,1
0,7.14,0,0,3.999,0.98659,3.999,0.9848,-5.133,0.84246,0,0.93773,37.328,0,2.727,1,0,0,0,12,0.0469652,0,0,0,0.92763,1,2,3,1,0,0,2,60.19,0,0,0,0.96969,0,0,0,3,0.426,0.14,0.134,-4.473,10434.9,37.81,4.404568614,1
